ship_type,route_type,distance_nm,speed_knots,draft_m,cargo_weight_tonnes,weather_impact_index,fuel_consumption_tonnes,co2_emissions_tonnes
Oil Tanker,Asia-Europe,1866.65,11.13,14.54,157495.75,0.0,56169.26,174911.07
Oil Tanker,Asia-Europe,8847.78,11.48,10.37,57077.42,0.2,152738.79,475628.6
General Cargo,North Atlantic,2793.82,13.3,5.53,8663.11,0.0,22381.95,69697.38
General Cargo,Indian Ocean,1806.43,13.78,8.29,29201.28,0.6,41253.22,128462.54
General Cargo,North Atlantic,1218.17,12.83,8.51,31574.35,0.0,21537.88,67068.95
Container Ship,Asia-Europe,6382.1,14.2,13.55,127342.7,0.0,262662.48,817930.96
Ro-Ro Cargo,North Atlantic,4072.69,14.71,9.56,44792.79,0.4,120362.82,374809.84
Oil Tanker,Indian Ocean,2286.1,14.74,16.34,223475.27,0.0,152471.88,474797.45
General Cargo,Indian Ocean,7582.9,12.29,7.26,19574.04,0.4,100078.44,311644.27
Bulk Carrier,Asia-Europe,10583.58,11.42,9.41,42616.82,0.4,165801.81,516306.85
Bulk Carrier,Intra-Asia,2982.12,14.41,13.26,119491.12,0.4,147931.68,460659.26
Ro-Ro Cargo,Indian Ocean,10241.04,17.83,9.7,46688.23,0.2,432814.28,1347783.68
General Cargo,Trans-Pacific,11462.86,13.47,7.54,21970.91,0.2,185746.6,578414.91
Oil Tanker,Asia-Europe,2809.79,11.16,8.61,32730.26,0.0,29849.83,92952.38
Bulk Carrier,Asia-Europe,3943.25,12.85,9.85,48987.19,0.0,76674.12,238763.21
Oil Tanker,North Atlantic,7796.06,12.78,14.11,143765.64,0.4,326081.65,1015418.26
Ro-Ro Cargo,Asia-Europe,2888.37,16.2,9.73,47227.27,0.6,113043.53,352017.55
Container Ship,North Atlantic,6460.62,23.78,12.8,107262.66,0.6,783986.17,2441332.92
Oil Tanker,North Atlantic,7247.68,11.17,14.39,152477.77,0.0,215115.63,669870.07
Ro-Ro Cargo,Asia-Europe,2406.77,16.51,8.77,34477.1,0.0,67175.9,209185.76
Bulk Carrier,Intra-Asia,1507.48,14.64,9.68,46377.03,0.0,36657.98,114152.94
General Cargo,Indian Ocean,2582.22,13.45,7.02,17689.59,0.2,36116.71,112467.42
General Cargo,Indian Ocean,8015.95,13.27,7.66,23009.54,0.4,137371.67,427775.38
Ro-Ro Cargo,Intra-Asia,10650.46,19.14,7.56,22120.93,0.0,297244.25,925618.59
Oil Tanker,Indian Ocean,9217.88,11.4,12.77,106514.26,0.2,237695.12,740182.61
Ro-Ro Cargo,Asia-Europe,10927.54,14.64,7.48,21434.86,0.8,216639.13,674614.24
General Cargo,Trans-Pacific,5809.08,11.32,5.67,9308.54,0.0,35385.21,110189.53
Ro-Ro Cargo,North Atlantic,8694.65,18.65,7.59,22427.86,0.2,246410.67,767322.82
Oil Tanker,North Atlantic,3064.65,11.69,16.59,233662.77,0.2,140501.44,437521.49
Container Ship,North Atlantic,4305.45,18.26,12.9,109814.95,0.2,281347.61,876116.46
Bulk Carrier,Indian Ocean,6267.99,15.47,12.09,90464.27,0.0,265692.26,827365.7
Bulk Carrier,Trans-Pacific,11136.15,12.37,12.79,107211.54,0.4,378357.16,1178204.2
Bulk Carrier,Intra-Asia,11943.11,13.92,10.75,63548.13,0.6,382431.42,1190891.43
Oil Tanker,North Atlantic,11460.04,11.27,16.16,216171.26,0.0,436739.07,1360005.45
Ro-Ro Cargo,Asia-Europe,7523.61,19.67,9.15,39255.7,0.4,364001.5,1133500.68
Oil Tanker,Trans-Pacific,4532.47,11.01,9.32,41407.76,0.0,54794.03,170628.62
Oil Tanker,North Atlantic,11021.1,11.5,11.06,69341.88,0.0,205006.27,638389.52
Bulk Carrier,Trans-Pacific,6675.6,14.83,11.42,76248.13,0.6,273687.18,852261.87
Ro-Ro Cargo,Intra-Asia,8094.06,17.37,8.79,34826.04,0.4,282080.08,878397.35
Container Ship,Intra-Asia,9211.05,20.81,10.9,66324.17,0.0,526709.42,1640173.13
General Cargo,Trans-Pacific,1028.2,10.37,7.22,19293.0,0.0,8550.44,26626.06
General Cargo,North Atlantic,3209.89,13.4,7.32,20100.24,0.6,53993.47,168135.67
Oil Tanker,Asia-Europe,7041.42,11.29,12.81,107675.61,0.2,179524.05,559037.9
Ro-Ro Cargo,Intra-Asia,9039.92,14.92,9.71,46922.19,0.0,253103.99,788165.83
Container Ship,North Atlantic,6259.95,15.68,10.05,51945.76,0.0,172598.7,537472.35
Ro-Ro Cargo,North Atlantic,10900.07,17.9,7.66,23032.3,0.0,273410.44,851400.12
Container Ship,North Atlantic,1405.15,19.58,14.03,141330.76,0.0,117767.08,366726.7
Ro-Ro Cargo,Intra-Asia,9257.73,19.64,7.59,22371.08,0.2,290724.25,905315.31
Bulk Carrier,Indian Ocean,5545.77,15.38,12.47,99255.98,0.0,247320.52,770156.11
Oil Tanker,Trans-Pacific,10275.46,12.24,11.8,84105.75,0.2,261334.39,813795.29
Bulk Carrier,Asia-Europe,5479.56,11.24,12.23,93741.27,0.2,133230.79,414880.67
General Cargo,Asia-Europe,11285.98,12.94,6.95,17218.56,0.2,143438.6,446667.81
Bulk Carrier,Asia-Europe,4364.9,14.05,12.23,93672.85,0.0,156129.79,486188.16
Oil Tanker,Trans-Pacific,11897.48,12.26,13.9,137590.8,0.0,397458.82,1237686.76
Ro-Ro Cargo,Asia-Europe,11399.09,14.28,9.42,42752.22,0.0,274879.43,855974.55
Oil Tanker,North Atlantic,3809.93,11.74,11.23,72483.88,0.0,76057.71,236843.72
Oil Tanker,Trans-Pacific,11843.91,13.17,11.14,70849.68,0.0,293329.41,913427.78
Container Ship,Trans-Pacific,10277.21,17.02,10.33,56516.68,0.6,417067.15,1298747.11
Ro-Ro Cargo,Asia-Europe,2506.14,19.41,7.38,20589.46,0.0,68579.13,213555.41
Bulk Carrier,Intra-Asia,9724.66,14.74,10.93,66939.99,0.4,343006.66,1068122.74
Oil Tanker,Trans-Pacific,11366.76,12.78,15.41,187478.53,0.4,567653.32,1767672.43
Bulk Carrier,Trans-Pacific,4863.62,15.47,11.92,86625.24,0.4,224349.36,698623.91
General Cargo,Indian Ocean,8296.94,12.59,7.51,21682.48,0.6,129726.54,403968.46
Ro-Ro Cargo,Indian Ocean,730.4,16.79,7.51,21670.2,0.0,15467.98,48167.3
General Cargo,Trans-Pacific,6251.06,12.55,6.25,12477.39,0.0,56866.09,177080.99
Container Ship,Asia-Europe,7013.49,22.65,12.4,97555.83,0.2,651374.32,2028379.62
Oil Tanker,North Atlantic,8079.99,12.79,14.34,150853.57,0.0,312217.55,972245.46
Oil Tanker,North Atlantic,11550.55,12.3,12.23,93566.47,0.0,300465.89,935650.77
Bulk Carrier,Intra-Asia,9054.45,12.5,12.78,106850.59,0.6,330457.99,1029046.17
Container Ship,Asia-Europe,10077.84,16.28,11.94,87130.02,0.0,422955.84,1317084.48
Container Ship,Asia-Europe,5517.33,18.79,13.34,121529.03,0.2,408040.05,1270636.71
Ro-Ro Cargo,Indian Ocean,3499.6,19.41,8.55,32054.5,0.6,151766.25,472600.09
Container Ship,North Atlantic,908.85,20.7,9.39,42440.9,0.8,47326.15,147373.64
Bulk Carrier,Indian Ocean,4595.92,12.29,9.84,48711.48,0.0,81376.85,253407.5
General Cargo,Intra-Asia,529.99,12.95,7.73,23649.98,0.2,8340.46,25972.2
Bulk Carrier,Asia-Europe,7620.89,10.11,9.77,47725.93,0.0,90014.91,280306.44
Container Ship,Trans-Pacific,11315.33,21.76,10.63,61517.53,0.0,672654.26,2094645.36
Bulk Carrier,Intra-Asia,6181.93,10.48,11.94,87199.59,0.0,117298.59,365267.8
Ro-Ro Cargo,Asia-Europe,8040.83,18.2,9.51,44053.74,0.4,359997.04,1121030.79
Ro-Ro Cargo,Asia-Europe,6810.28,15.06,7.03,17758.51,0.0,101662.18,316576.02
Bulk Carrier,Asia-Europe,7511.83,11.68,10.74,63424.92,0.2,151818.74,472763.55
Bulk Carrier,North Atlantic,9328.67,14.16,11.52,78288.07,0.6,355299.13,1106401.5
Container Ship,Intra-Asia,9558.57,19.65,14.44,154177.27,0.2,906215.71,2821955.73
General Cargo,North Atlantic,11536.86,10.31,7.19,19026.53,0.6,110823.56,345104.58
General Cargo,North Atlantic,10118.25,10.88,8.41,30403.35,0.2,132894.63,413833.88
Bulk Carrier,Asia-Europe,9405.58,12.08,12.52,100503.51,0.0,260774.9,812053.05
Bulk Carrier,Asia-Europe,3846.54,15.61,8.76,34358.95,0.2,92313.81,287465.21
General Cargo,North Atlantic,10337.29,13.11,6.79,16041.18,0.0,121496.23,378339.27
Bulk Carrier,Intra-Asia,9181.71,15.48,12.32,95783.6,0.0,404773.41,1260464.4
Bulk Carrier,Indian Ocean,2666.54,14.99,11.57,79318.02,0.4,108885.41,339069.17
Ro-Ro Cargo,North Atlantic,5337.85,15.03,9.55,44586.93,0.4,164249.66,511473.43
Ro-Ro Cargo,Intra-Asia,816.17,17.57,7.91,25345.46,0.0,21019.85,65455.81
Container Ship,North Atlantic,1097.92,17.35,10.83,65006.22,0.0,43045.17,134042.67
General Cargo,Intra-Asia,4950.49,11.56,8.55,31992.07,0.2,75865.23,236244.33
Container Ship,North Atlantic,2709.24,18.87,14.15,145156.53,0.4,240408.19,748631.09
Bulk Carrier,North Atlantic,1779.9,13.48,12.79,107054.34,0.0,64082.33,199552.36
Oil Tanker,Asia-Europe,8107.99,12.78,16.46,228468.56,0.2,437093.49,1361109.14
Ro-Ro Cargo,North Atlantic,1586.26,19.57,8.18,28028.29,0.0,54185.7,168734.26
Bulk Carrier,Intra-Asia,871.97,13.03,9.76,47534.78,0.2,18113.54,56405.56
Bulk Carrier,Trans-Pacific,4325.53,14.78,11.46,76968.08,0.2,159277.26,495989.39
Ro-Ro Cargo,North Atlantic,8901.24,18.49,9.67,46263.61,0.0,379049.23,1180359.29
Bulk Carrier,North Atlantic,11698.72,15.8,13.06,114059.36,0.0,603628.46,1879699.03
Bulk Carrier,Trans-Pacific,6920.18,15.14,8.93,36401.66,0.6,180837.64,563128.4
Ro-Ro Cargo,Indian Ocean,1457.0,17.29,7.88,25025.36,0.6,42504.21,132358.1
Container Ship,Trans-Pacific,5797.63,15.63,11.94,87241.14,0.0,224593.6,699384.46
Oil Tanker,Trans-Pacific,3998.1,14.34,15.71,198388.99,0.0,233032.88,725664.39
Bulk Carrier,Asia-Europe,10696.16,13.97,13.01,112739.72,0.4,479670.41,1493693.65
Oil Tanker,Asia-Europe,1782.63,12.39,16.24,219177.76,0.4,92914.31,289335.18
Container Ship,Indian Ocean,7379.86,13.7,9.67,46318.69,0.2,152606.08,475215.33
Bulk Carrier,North Atlantic,7412.38,12.14,8.38,30132.08,0.2,98547.68,306877.46
Container Ship,Trans-Pacific,11462.43,17.47,10.95,67212.35,0.6,549942.76,1712521.75
Oil Tanker,Indian Ocean,8015.97,12.14,14.6,159351.17,0.2,306952.75,955850.86
Oil Tanker,Intra-Asia,5104.79,14.98,10.1,52729.45,0.2,142347.59,443270.38
Bulk Carrier,Asia-Europe,4627.75,15.83,12.43,98296.81,0.0,217158.07,676230.24
Container Ship,Indian Ocean,10952.22,12.34,10.49,59157.14,0.4,228640.84,711987.58
Container Ship,North Atlantic,6882.6,16.93,12.28,94827.35,0.0,330603.64,1029499.73
Bulk Carrier,Asia-Europe,2781.61,11.12,13.06,114165.52,0.0,71161.23,221596.06
Oil Tanker,Trans-Pacific,4848.78,11.59,8.88,35834.32,0.2,62576.09,194861.94
Oil Tanker,Intra-Asia,10718.81,13.23,13.28,119987.0,0.0,380436.9,1184680.51
Ro-Ro Cargo,Indian Ocean,1763.39,18.48,8.52,31656.71,0.0,58277.79,181477.04
Ro-Ro Cargo,Trans-Pacific,3929.27,16.9,6.93,17073.89,0.4,80568.72,250891.01
Bulk Carrier,Asia-Europe,10531.16,10.29,11.72,82493.97,0.0,185762.28,578463.73
Oil Tanker,Intra-Asia,10881.52,14.74,8.94,36566.33,0.2,230284.59,717106.22
Bulk Carrier,North Atlantic,8251.26,11.33,9.88,49410.71,0.0,125412.73,390535.23
Ro-Ro Cargo,Trans-Pacific,8770.76,17.68,8.94,36606.15,0.2,309714.39,964450.62
Container Ship,Intra-Asia,3279.22,17.39,13.35,121815.62,0.0,196458.76,611772.57
Container Ship,North Atlantic,8818.62,18.68,12.73,105608.43,0.0,554227.86,1725865.56
Oil Tanker,Trans-Pacific,679.49,11.72,11.5,77779.77,0.0,14179.26,44154.22
Oil Tanker,Intra-Asia,1331.15,12.02,14.12,144009.85,0.4,49315.45,153568.3
Container Ship,Trans-Pacific,11680.99,15.44,9.97,50798.27,0.2,326194.24,1015768.86
Ro-Ro Cargo,Trans-Pacific,4125.24,16.72,9.54,44438.92,0.6,165073.44,514038.7
Oil Tanker,Intra-Asia,3777.14,12.21,14.09,143123.67,0.0,128336.54,399639.98
Bulk Carrier,Trans-Pacific,4680.9,12.69,12.78,106860.57,0.8,185067.75,576300.97
Bulk Carrier,Indian Ocean,3854.82,15.68,8.57,32223.76,0.0,84381.46,262763.87
Oil Tanker,Trans-Pacific,6243.15,13.97,15.21,180075.98,0.0,323737.25,1008117.79
Container Ship,Intra-Asia,512.98,23.24,12.47,99312.92,0.6,56514.09,175984.87
Container Ship,Trans-Pacific,6904.24,14.54,10.7,62720.05,0.4,207908.96,647428.5
Oil Tanker,Indian Ocean,9103.27,12.86,9.9,49611.32,0.0,169398.36,527506.48
Ro-Ro Cargo,Asia-Europe,3020.36,16.5,8.58,32341.42,0.4,90401.63,281510.67
Container Ship,Intra-Asia,9574.35,23.48,11.52,78175.9,0.4,870872.68,2711897.51
Ro-Ro Cargo,Intra-Asia,2210.86,16.49,7.35,20337.31,0.2,45939.63,143056.02
General Cargo,Indian Ocean,7841.27,13.75,7.8,24321.36,0.0,133779.28,416588.67
General Cargo,North Atlantic,1405.99,10.85,7.93,25521.8,0.0,15420.57,48019.64
Container Ship,North Atlantic,11480.65,13.75,11.52,78184.82,0.0,319828.57,995946.17
Bulk Carrier,Asia-Europe,6039.35,10.08,11.02,68604.2,0.0,90436.83,281620.29
Container Ship,Intra-Asia,1495.75,17.88,13.81,134871.06,0.2,107437.59,334560.65
Ro-Ro Cargo,Indian Ocean,9863.43,17.41,7.56,22102.95,0.4,254994.92,794054.18
Container Ship,North Atlantic,5163.49,23.25,14.16,145518.81,0.2,659731.63,2054404.29
Container Ship,Trans-Pacific,657.29,23.95,13.42,123656.78,0.0,75385.86,234751.57
Container Ship,Asia-Europe,11189.14,21.42,13.93,138320.15,0.4,1239035.16,3858355.5
Bulk Carrier,Indian Ocean,11927.43,15.63,12.68,104379.0,0.0,567744.03,1767954.89
General Cargo,North Atlantic,10949.54,12.33,8.47,31157.19,0.4,198204.81,617209.79
General Cargo,Trans-Pacific,5945.6,13.86,5.45,8279.04,0.4,56277.63,175248.54
General Cargo,North Atlantic,1917.44,11.17,6.57,14515.06,0.4,17120.37,53312.83
Bulk Carrier,Indian Ocean,7273.95,11.05,10.18,54000.52,0.0,111476.01,347136.29
Ro-Ro Cargo,Asia-Europe,1895.0,17.92,8.52,31626.82,0.0,58824.9,183180.75
Ro-Ro Cargo,Indian Ocean,7388.39,16.38,9.73,47159.94,0.0,250306.93,779455.79
Oil Tanker,Asia-Europe,5890.44,11.14,9.75,47416.79,0.0,79816.54,248548.71
Ro-Ro Cargo,North Atlantic,5461.62,18.03,8.72,33897.42,0.0,179836.79,560011.76
Container Ship,Asia-Europe,823.17,14.65,13.66,130523.46,0.8,45439.44,141498.41
Bulk Carrier,Intra-Asia,2006.67,12.56,9.17,39471.71,0.2,34184.08,106449.22
Oil Tanker,Intra-Asia,7209.28,11.56,10.68,62446.2,0.8,156722.7,488034.48
Oil Tanker,Indian Ocean,3753.19,11.84,10.85,65341.04,0.2,75453.27,234961.48
Oil Tanker,North Atlantic,11007.96,14.01,15.78,201373.26,0.4,693260.26,2158812.44
General Cargo,Intra-Asia,10894.87,10.06,7.31,20010.16,0.0,87266.92,271749.18
General Cargo,Asia-Europe,5124.73,13.53,7.71,23436.29,0.0,82534.38,257012.06
Oil Tanker,Indian Ocean,11436.88,13.69,12.66,103962.28,0.0,394999.01,1230026.92
Ro-Ro Cargo,Asia-Europe,8681.72,18.72,9.0,37281.02,0.0,328183.01,1021961.91
Container Ship,North Atlantic,9290.59,20.19,10.8,64555.06,0.4,550265.71,1713527.42
Container Ship,Trans-Pacific,8510.2,18.64,14.36,151723.43,0.2,718125.84,2236243.88
Bulk Carrier,Intra-Asia,9856.72,11.53,8.88,35796.06,0.2,132606.99,412938.18
General Cargo,Trans-Pacific,11101.22,11.51,7.36,20377.67,0.0,117847.69,366977.71
Oil Tanker,Asia-Europe,2778.25,13.33,15.2,179658.39,0.0,131004.48,407947.94
Oil Tanker,Intra-Asia,4348.56,14.03,14.02,141135.8,0.0,193528.33,602647.21
Oil Tanker,Intra-Asia,7699.89,13.98,12.64,103429.3,0.0,276561.11,861211.3
General Cargo,Asia-Europe,776.44,12.98,5.7,9484.67,0.2,6674.17,20783.38
Bulk Carrier,Asia-Europe,2609.84,13.7,13.21,118110.92,0.2,109844.3,342055.15
Ro-Ro Cargo,North Atlantic,2233.42,19.17,8.34,29738.97,0.0,76181.34,237228.68
Container Ship,Trans-Pacific,11052.78,14.86,10.84,65305.34,0.0,319151.25,993836.98
Ro-Ro Cargo,Intra-Asia,9163.96,19.99,9.56,44758.18,0.8,553313.83,1723019.27
General Cargo,Asia-Europe,9027.71,13.67,5.76,9794.8,0.0,82961.92,258343.42
Bulk Carrier,Indian Ocean,9509.89,12.17,11.24,72623.63,0.8,267073.62,831667.24
Ro-Ro Cargo,Intra-Asia,8014.48,15.34,8.39,30273.19,0.2,187689.41,584464.82
General Cargo,Trans-Pacific,4388.23,13.6,5.53,8647.64,0.4,41128.4,128073.84
Container Ship,Trans-Pacific,7496.42,16.74,13.21,118066.6,0.0,407327.6,1268418.13
Oil Tanker,Asia-Europe,3774.03,12.03,15.94,207285.58,0.8,197876.99,616188.95
Oil Tanker,Intra-Asia,8086.87,11.53,15.93,207054.1,0.2,332498.26,1035399.57
Ro-Ro Cargo,Indian Ocean,1334.4,15.61,7.6,22445.53,0.0,25004.35,77863.56
General Cargo,Trans-Pacific,3800.54,10.85,7.46,21276.4,0.6,43522.59,135529.35
Oil Tanker,Intra-Asia,2819.22,13.39,11.98,87954.9,0.0,83383.6,259656.54
Container Ship,Intra-Asia,11213.73,23.77,13.85,135993.78,0.4,1512354.84,4709472.96
Container Ship,Trans-Pacific,11359.06,14.5,11.2,71856.79,0.0,332860.23,1036526.75
Bulk Carrier,Indian Ocean,4533.08,11.66,12.61,102666.06,0.0,118697.49,369623.97
Bulk Carrier,Asia-Europe,679.94,13.94,10.39,57417.17,0.0,17298.07,53866.18
Bulk Carrier,Asia-Europe,10714.05,14.89,10.78,64223.39,0.0,334836.76,1042681.68
Container Ship,Asia-Europe,6525.7,16.91,11.34,74659.53,0.0,266553.42,830047.36
Bulk Carrier,Indian Ocean,1346.61,13.76,9.11,38669.36,0.0,25634.62,79826.21
General Cargo,Asia-Europe,8232.67,12.54,5.93,10649.95,0.2,71351.64,222189.0
General Cargo,Intra-Asia,2795.26,12.19,6.78,15928.28,0.0,28274.39,88046.46
Container Ship,Intra-Asia,9360.63,23.82,12.01,88721.5,0.8,1055364.98,3286406.54
Oil Tanker,Asia-Europe,10623.35,14.02,13.66,130527.76,0.8,555555.76,1730000.64
Container Ship,Intra-Asia,2568.25,18.55,10.84,65277.47,0.0,115416.16,359405.92
Bulk Carrier,Trans-Pacific,4182.39,11.98,12.55,101325.48,0.0,114712.1,357213.49
Ro-Ro Cargo,Trans-Pacific,2187.98,17.77,8.38,30145.94,0.8,80261.3,249933.69
Bulk Carrier,Asia-Europe,7112.79,14.35,9.79,48019.88,0.0,169989.69,529347.89
General Cargo,Indian Ocean,5331.55,11.57,8.46,30958.41,0.8,93671.98,291694.54
Oil Tanker,Trans-Pacific,11654.28,13.81,14.03,141254.36,0.0,502384.21,1564424.44
General Cargo,Intra-Asia,3990.01,11.16,7.94,25642.78,0.4,52016.46,161979.25
Bulk Carrier,Indian Ocean,1770.77,14.9,9.78,47937.82,0.4,51091.34,159098.45
General Cargo,Trans-Pacific,3748.74,12.17,6.25,12485.83,0.0,32096.77,99949.33
General Cargo,North Atlantic,2122.62,10.7,7.21,19215.1,0.0,18737.82,58349.56
General Cargo,Asia-Europe,11763.05,10.53,7.36,20371.64,0.0,104600.89,325727.18
Container Ship,Asia-Europe,9194.19,17.93,10.88,65952.35,0.2,412004.95,1282983.43
Bulk Carrier,Indian Ocean,4125.73,11.85,12.14,91663.12,0.0,103591.48,322583.88
Oil Tanker,North Atlantic,6679.61,13.82,12.69,104680.42,0.0,236243.24,735661.45
Oil Tanker,North Atlantic,5852.55,14.89,9.54,44497.71,0.6,160313.25,499215.46
Container Ship,Asia-Europe,9350.59,13.25,11.08,69707.01,0.0,223991.29,697508.87
Oil Tanker,Indian Ocean,8156.49,13.67,15.88,205136.16,0.4,495065.01,1541632.45
General Cargo,North Atlantic,6208.19,10.28,7.89,25102.51,0.0,60414.0,188129.2
Container Ship,Indian Ocean,4553.32,14.05,14.13,144448.62,0.4,223179.99,694982.5
Oil Tanker,Intra-Asia,2119.2,11.87,16.62,235136.07,0.2,100434.55,312753.2
Container Ship,Trans-Pacific,11757.83,19.23,14.6,159467.88,0.0,1030009.07,3207448.25
Ro-Ro Cargo,North Atlantic,3905.78,19.82,8.43,30685.33,0.2,154106.38,479887.27
Container Ship,Indian Ocean,8646.49,17.53,12.48,99531.65,0.0,459933.34,1432232.41
Container Ship,Asia-Europe,6737.53,14.8,13.06,113964.39,0.0,279672.26,870899.43
Ro-Ro Cargo,Indian Ocean,9852.52,18.87,9.25,40534.33,0.2,424404.88,1321596.81
Oil Tanker,North Atlantic,773.77,14.7,16.05,211852.97,0.0,49561.16,154333.46
Ro-Ro Cargo,North Atlantic,4971.14,19.24,7.86,24869.14,0.0,151615.0,472129.13
Oil Tanker,North Atlantic,6835.3,14.43,14.7,162755.49,0.0,353734.1,1101527.98
Container Ship,Trans-Pacific,10555.45,19.74,14.55,157714.22,0.2,1025705.9,3194048.19
Bulk Carrier,North Atlantic,4191.65,14.23,12.07,90064.04,0.2,158887.66,494776.18
General Cargo,Trans-Pacific,11722.77,13.71,8.32,29473.14,0.6,266727.7,830590.05
Oil Tanker,Indian Ocean,9771.41,11.7,13.92,138033.58,0.6,351536.2,1094683.73
Container Ship,Trans-Pacific,962.81,13.17,13.68,131040.87,0.4,38890.52,121105.07
Container Ship,Indian Ocean,5440.02,22.69,12.12,91049.86,0.2,484033.91,1507281.6
Oil Tanker,Intra-Asia,9695.34,12.16,12.26,94335.89,0.0,247491.75,770689.3
Container Ship,North Atlantic,5944.34,21.94,12.15,91793.86,0.4,525504.96,1636422.44
Oil Tanker,Asia-Europe,10830.22,11.24,16.48,229367.38,0.0,427628.27,1331634.42
Ro-Ro Cargo,North Atlantic,4618.69,15.03,8.32,29515.26,0.0,96372.12,300102.77
Oil Tanker,Asia-Europe,10771.88,13.28,15.7,197969.72,0.2,569845.52,1774498.95
Container Ship,Asia-Europe,8427.4,17.39,13.29,120112.87,0.0,500155.57,1557484.45
General Cargo,Trans-Pacific,9332.37,10.98,8.05,26667.49,0.0,107921.32,336066.98
Container Ship,Asia-Europe,9856.81,21.07,13.77,133627.23,0.0,921707.94,2870198.54
Bulk Carrier,Trans-Pacific,7972.59,10.93,12.14,91664.27,0.0,170293.21,530293.05
General Cargo,Asia-Europe,2630.07,10.58,7.73,23685.56,0.0,26105.33,81291.99
Ro-Ro Cargo,North Atlantic,6540.01,17.38,9.38,42203.36,0.4,259429.58,807863.72
Ro-Ro Cargo,Indian Ocean,923.13,18.28,9.64,45904.58,0.0,38257.56,119134.03
General Cargo,Intra-Asia,11849.39,12.33,7.67,23080.07,0.6,185129.43,576493.04
Bulk Carrier,North Atlantic,1812.32,10.79,8.99,37256.03,0.0,20704.88,64475.01
Container Ship,North Atlantic,10832.12,17.91,9.54,44508.75,0.0,351536.77,1094685.51
Oil Tanker,Indian Ocean,7250.8,13.71,15.2,179644.6,0.4,405044.51,1261308.61
General Cargo,North Atlantic,5749.89,10.52,6.89,16733.13,0.0,44698.53,139191.21
Oil Tanker,Intra-Asia,11807.46,12.71,10.03,51617.03,0.0,220520.41,686700.57
Oil Tanker,Indian Ocean,9586.26,14.81,15.94,207385.42,0.2,650800.41,2026592.46
Bulk Carrier,Indian Ocean,11876.45,12.78,8.48,31261.89,0.4,189439.62,589914.96
General Cargo,Trans-Pacific,8625.09,13.5,8.05,26711.22,0.4,169017.23,526319.65
General Cargo,Asia-Europe,4002.67,12.69,8.2,28253.24,0.0,64264.94,200121.02
Oil Tanker,Asia-Europe,2215.05,12.19,14.43,153913.03,0.4,88296.6,274955.61
Oil Tanker,Indian Ocean,8959.64,12.15,16.34,223438.28,0.4,454830.68,1416342.75
Ro-Ro Cargo,Intra-Asia,6556.93,17.02,8.91,36184.16,0.6,237228.2,738728.63
Ro-Ro Cargo,Asia-Europe,938.77,14.31,9.27,40748.55,0.0,22019.67,68569.26
Bulk Carrier,Asia-Europe,833.95,13.18,12.49,99757.82,0.0,27381.68,85266.54
Ro-Ro Cargo,Intra-Asia,8851.6,16.44,9.04,37761.96,0.0,260482.39,811142.16
General Cargo,North Atlantic,8942.23,12.51,7.63,22713.25,0.2,127894.5,398263.48
Bulk Carrier,Trans-Pacific,3805.76,10.8,11.48,77468.88,0.0,70925.92,220863.3
General Cargo,Intra-Asia,4464.74,10.04,6.23,12397.54,0.0,25878.83,80586.67
Bulk Carrier,Trans-Pacific,10374.47,10.13,12.91,110140.47,0.6,253568.9,789613.57
Oil Tanker,Trans-Pacific,8035.17,12.77,15.25,181656.34,0.0,350270.63,1090742.75
Oil Tanker,Intra-Asia,10058.1,11.58,13.29,120282.25,0.0,274076.49,853474.18
Oil Tanker,Asia-Europe,6758.92,12.99,16.21,217963.36,0.8,426749.16,1328896.9
General Cargo,Indian Ocean,10394.95,10.68,7.69,23327.45,0.2,110334.19,343580.67
Bulk Carrier,Trans-Pacific,992.01,13.81,11.69,81797.15,0.8,38859.59,121008.75
Container Ship,Intra-Asia,11832.53,12.48,11.06,69202.3,0.0,250377.52,779675.61
General Cargo,Trans-Pacific,10724.61,10.86,7.55,22042.4,0.8,132467.79,412504.71
Ro-Ro Cargo,Intra-Asia,6526.83,16.34,9.48,43592.05,0.6,246386.39,767247.23
Ro-Ro Cargo,Indian Ocean,6960.68,14.48,7.64,22811.22,0.0,113561.79,353631.41
Oil Tanker,Intra-Asia,8748.9,14.65,16.67,237201.73,0.0,599572.08,1867067.46
General Cargo,Asia-Europe,3018.94,12.99,8.26,28881.15,0.0,51483.59,160319.88
General Cargo,Trans-Pacific,5620.89,13.06,6.98,17376.86,0.0,69152.7,215341.52
General Cargo,North Atlantic,877.61,12.1,5.64,9194.41,0.0,6055.47,18856.75
Container Ship,Trans-Pacific,9207.42,23.21,13.12,115673.02,0.0,948888.53,2954838.87
Ro-Ro Cargo,Intra-Asia,6191.48,15.02,8.24,28613.45,0.0,126369.99,393516.16
Ro-Ro Cargo,Asia-Europe,4055.89,18.36,6.84,16401.54,0.0,85388.28,265899.09
General Cargo,North Atlantic,7197.16,12.06,7.09,18242.98,0.0,77940.23,242705.88
Oil Tanker,Asia-Europe,2138.33,12.76,15.25,181469.15,0.2,98631.34,307138.0
Oil Tanker,Asia-Europe,3253.84,13.45,10.74,63441.69,0.6,92050.01,286643.73
General Cargo,Trans-Pacific,2610.97,12.39,6.77,15897.51,0.0,27240.09,84825.65
Oil Tanker,Indian Ocean,7016.68,13.4,14.02,141174.46,0.2,301780.91,939745.74
